ids	uaagmda_c	uagmda_c	lipa_c	kdo2lipid4p_c	kdo2lipid4L_c	kdo2lipid4_c	kdolipid4_c	lipidA_c	lipidAds_c	lipidX_c	u23ga_c	u3hga_c	u3aga_c	ttdcea_c	hdcea_c	ocdcea_c	agpg_EC_c	pe_EC_c	ps_EC_c	clpn_EC_c	pg_EC_c	pgp_EC_c	cdpdag_EC_c	12dgr_EC_c	pa_EC_c	octeACP_c	tdeACP_c	hdeACP_c	ddcaACP_c	3hmrsACP_c	actACP_c	malACP_c	peptido_EC_c	ugmda_c	ugmd_c	uamag_c	uama_c	unaga_c	udcpdp_c	udcpp_c	grdp_c	frdp_c	dmpp_c	ipdp_c	h2mb4p_c	2mecdp_c	mthgxl_c	db4p_c	acgam1p_c	gam1p_c	thmpp_c	sucarg_c	dtdp_c	kdo_c	kdo8p_c	glu__L_c	2me4p_c	dxyl5p_c	glutrna_c	prpp_c	amet_c	pap_c	atp_c	adp_c	gdp_c	gtp_c
frozenset({'b0945'})	20.00000000000013	20.000000000000174	19.61145228215683	20.000000000000817	20.000000000000686	19.999999999999886	19.99999999999985	20.000000000000927	29.487516087516077	39.99999999999949	19.99999999999948	19.999999999998106	19.999999999997893	21.071596998928413	27.650914205345344	84.96893939393938	0.79999999999993	0.7999999999999075	0.7999999999999082	0.3999999999999565	0.7999999999999132	0.3999999999999626	0.3999999999999535	1.2038735702050063	0.7999999999999357	-4.6861559626077165e-15	-4.686155962607719e-15	-5.056362577265568e-15	-5.056362577265561e-15	-5.056362577265563e-15	-5.056362577265562e-15	-5.056362577265562e-15	55.00000000000004	19.999999999999442	19.999999999999304	20.000000000000274	20.000000000000302	19.999999999999574	19.999999999999503	36.689302074912405	20.00000000001413	20.000000000000057	20.000000000000203	20.000000000000203	20.000000000000526	20.000000000001634	899.7999999999994	40.000000000000206	40.00000000000019	40.0000000000002	10.0	104.99999999999991	19.999999999999503	355.26909090909066	40.00000000000009	419.99999999999966	39.99999999999814	39.99999999999826	0.0	13.333333333332304	29.999999999999986	9.999999999999993	13.333333333333034	19.999999999999517	19.999999999999517	13.333333333333021
frozenset({'b2276'})	19.999999999999613	20.00000000000021	19.26041493775818	19.95332725615243	20.000000000000988	20.000000000000014	20.00000000000021	20.000000000001197	28.94311454311403	39.999999999999	20.000000000000277	19.999999999999947	20.000000000001812	20.69539121114692	27.157243319268517	83.3666666666658	0.7999999999999284	0.7999999999999075	0.7999999999999085	0.39999999999995556	0.7999999999999113	0.3999999999999617	0.40000000000003505	1.1853604286725319	0.7999999999999412	-2.8313883031780626e-15	-2.831388303178064e-15	-7.127058159011879e-15	-7.127058159011874e-15	-5.706223029406935e-15	-7.127058159011873e-15	-7.127058159011874e-15	54.999999999999964	20.000000000000004	20.000000000000195	20.000000000000107	20.00000000000035	19.999999999998362	19.999999999999808	36.338666666666555	20.0	19.999999999999897	19.999999999999577	19.999999999999233	19.999999999999932	20.00000000000008	877.5894736842099	40.00000000000075	39.99999999999972	39.99999999999987	9.999999999999998	104.99999999999991	19.999999999999503	348.8872727272727	40.00000000000015	420.00000000000034	40.000000000000114	40.000000000000355	0.0	13.33333333333339	29.9999999999999	9.99999999999999	13.333333333333407	19.999999999999996	20.00000000000009	13.333333333333352
frozenset({'b2799'})	20.000000000000163	20.000000000000174	19.387385892115216	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.140025740025273	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	20.78220793140414	27.27116736990162	83.94621212121197	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.19309473258518	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.326035087719205	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	890.3263157894733	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	350.35999999999996	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b0856'})	20.000000000000163	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b0693'})	20.000000000000163	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2041'})	20.000000000000163	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b4227'})	20.000000000000163	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2169'})	20.000000000000167	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b2036'})	20.000000000000167	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
frozenset({'b0109'})	20.000000000000167	20.000000000000174	19.611452282156765	19.999999999999655	19.999999999998273	20.000000000000018	20.00000000000026	20.000000000000657	29.4875160875156	39.99999999999902	20.000000000000224	19.999999999999897	20.000000000002256	21.07159699892825	27.650914205344648	84.96893939393938	0.7999999999999298	0.7999999999999085	0.7999999999999093	0.3999999999999566	0.799999999999913	0.39999999999996255	0.40000000000003433	1.2038735702050078	0.8000000000000066	-1.1637110016297726e-15	-1.1637110016297732e-15	-7.127058159011873e-15	-7.127058159011868e-15	-5.70622302940693e-15	-7.127058159011868e-15	-7.127058159011866e-15	54.99999999999995	20.000000000000007	20.000000000000263	20.000000000000178	20.000000000000362	19.999999999999577	19.999999999999808	36.68930207491233	20.000000000000014	19.999999999999822	19.999999999999577	19.999999999999137	19.99999999999994	20.00000000000008	899.7999999999994	40.00000000000077	39.99999999999972	39.99999999999988	9.999999999999998	104.99999999999991	19.999999999999524	355.26909090909066	40.000000000000135	420.00000000000034	40.000000000000206	40.00000000000027	0.0	13.333333333333409	29.999999999999876	9.999999999999991	13.33333333333336	19.999999999999996	20.000000000000075	13.333333333333666
