PNNL Metabolite Name (Urine & Plasma) 	Compound	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
1,5-anhydrohexitol*	1,5-anhydrohexitol									
dehydroalanine (possibly from cysteine)	2-AMINOACRYLATE	2-AMINOACRYLATE	2-AMINOACRYLATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22022579'>22022579</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58020'>58020</a>		<a href='http://www.hmdb.ca/metabolites/HMDB03609'>HMDB03609</a>		2-aminoacrylate // &alpha;-aminoacrylate // 2-aminoacrylic acid // 2,3-didehydroalanine // &alpha;,&beta;-dehydroalanine // anhydroserine 2-aminopropenoic acid // dehydroalanine
aminobutyric acid*	2-Aminobutyrate	2-Aminobutyrate	2-Aminobutyrate	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=517460'>517460</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=2835-81-6'>2835-81-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:35621'>35621</a>				DL-a-amino-N-butyric acid // 2-aminobutyric acid // 2-amino-n-butyric Acid // butyrine // &alpha;-aminobutyric acid // D,L-&alpha;-amino-<i>N</i>-butyrate // 2-aminobutyrate
2-hydroxypyridine 	2-HYDROXYPYRIDINE	2-HYDROXYPYRIDINE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8871'>8871</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=142-08-5'>142-08-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16540'>16540</a>		<a href='http://www.hmdb.ca/metabolites/HMDB13751'>HMDB13751</a>		
alpha ketoglutaric acid	2-KETOGLUTARATE	2-KETOGLUTARATE	2-KETOGLUTARATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=164533'>164533</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=328-50-7'>328-50-7</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16810'>16810</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00208'>HMDB00208</a>		2-oxoglutarate // ketoglutarate // &alpha;-ketoglutarate // 2-oxoglutaric acid // &alpha;-ketoglutaric acid // &alpha;-oxoglutarate // 2-ketoglutaric acid // 2-ketoglutarate // 2-oxopentanedionic acid // 2-oxopentanedionate // a-ketoglutaric acid
2,3-dihydroxybutanoic acid*	2,3-dihydroxybutanoic acid									
2-ketoisocaproic acid	ketoisocaproic acid									
L-pyroglutamic acid	5-OXOPROLINE	5-OXOPROLINE	5-OXOPROLINE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5289118'>5289118</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=98-79-3'>98-79-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58402'>58402</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00267'>HMDB00267</a>		pyrrolidone-COO // pyrrolidone-carboxylate // L-5-pyrrolidone-2-carboxylic acid // L-pyroglutamic acid // 5-oxo-L-proline // pyroglutamic acid // pyroglutamate // 5-pyrrolidone-2-carboxylic acid // L-pyroglutamate // Pidolic acid
L-asparagine	ASN	ASN	ASN	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=6992089'>6992089</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=70-47-3'>70-47-3</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58048'>58048</a>		<a href='http://www.hmdb.ca/metabolites/HMDB00168'>HMDB00168</a>		asparagine // &alpha;-aminosuccinamic acid // (-)-asparagine // (S)-2,4-diamino-4-oxobutanoic acid // (S)-asparagine // 2,4-diamino-4-oxobutanoic acid, (S)- // 2-aminosuccinamic acid, L- // agedoite // altheine // asparagine acid // aspartic acid &beta;-amide // butanoic acid, 2,4-diamino-4-oxo-, (S)- // L-2,4-diamino-4-oxobutanoic acid // L-asparatamine // L-&beta;-asparagine // asn // N // L-asn
cholesterol	CHOLESTEROL	CHOLESTEROL	CHOLESTEROL	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=5997'>5997</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=57-88-5'>57-88-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16113'>16113</a>	<a href='http://www.drugbank.ca/drugs/DB04540'>DB04540</a>	<a href='http://www.hmdb.ca/metabolites/HMDB00067'>HMDB00067</a>		5-cholestene-3&beta;-ol
cresol	CPD-108	CPD-108	CPD-108	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=2879'>2879</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=106-44-5'>106-44-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17847'>17847</a>	<a href='http://www.drugbank.ca/drugs/DB01688'>DB01688</a>	<a href='http://www.hmdb.ca/metabolites/HMDB01858'>HMDB01858</a>		4-hydroxytoluene // p-hydroxytoluene // 4-cresol // <i>p</i>-cresol
2-hydroxybutyric acid	CPD-3564	CPD-3564								
D-threitol	CPD-12825	CPD-12825	CPD-12825	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=169019'>169019</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48300'>48300</a>		<a href='http://www.hmdb.ca/metabolites/HMDB04136'>HMDB04136</a>		(2R,3R)-butane-1,2,3,4-tetrol // D-threo-tetritol
