Compound	Zscore_P1_UDN418969 (Relative of UDN797885)	Zscore_P1_UDN050783 (Relative of UDN797885)	Zscore_P1_UDN853355	Zscore_P1_UDN865642	Zscore_P1_UDN678474 (Relative of UDN865642)	Zscore_P1_UDN933024 (Relative of UDN865642)	Zscore_P1_UDN869748	Zscore_P1_UDN916494	Zscore_P1_UDN336336	Zscore_P1_UDN372273	Zscore_P1_UDN711539 (Relative of UDN372273)	Zscore_P1_UDN526792	Zscore_P1_UDN538368	Zscore_P1_UDN107726 (Relative of UDN538368)	Zscore_P1_UDN583127	Zscore_P1_UDN627073	Zscore_P1_UDN481754 (Relative of UDN627073)	Zscore_P1_UDN683706	Zscore_P1_UDN710245	Zscore_P1_UDN948125 (Relative of UDN710245)	Zscore_P1_UDN073552 (Relative of UDN710245)	Zscore_P1_UDN744855	Zscore_P1_UDN755687	Zscore_P1_UDN896870	Zscore_P1_UDN830764 (Relative of UDN896870)	Zscore_P1_UDN050783 (Relative of UDN797885).1	Zscore_P1_UDN924574	Zscore_P1_UDN957763	Metacyc Object ID	Map to Homo sapiens	PubChem	CAS	ChEBI	DrugBank	HMDB	LIPID MAPS	Synonyms
1,5-anhydrohexitol	-0.303	-0.247	0.24	-0.35	-0.379	-1.083	-0.23399999999999999	-0.209	-0.255	0.35100000000000003	-0.353	-2.957	0.866	0.802	-3.569	0.787	-0.40299999999999997	-0.982	0.077	-0.15	0.408	0.529	-0.41200000000000003	-1.8880000000000001	-0.8490000000000001	-0.67	0.8370000000000001	-0.431									
1-hydroxycyclohexane-1-carboxylic acid	1.225	1.88	1.063	-0.8909999999999999	0.205	0.841	1.247	1.207	0.98	0.609	0.6659999999999999	0.7340000000000001	0.597	0.644	0.022000000000000002	1.0390000000000001	0.617	0.9690000000000001	0.8809999999999999	-0.349	0.955	0.9640000000000001	0.507	0.905	-0.772	0.115	1.308	0.8440000000000001									
CPD-8508	0.9009999999999999	-0.235	-0.5770000000000001	1.476	-0.023	0.32899999999999996	-0.29100000000000004	-0.19	0.004	0.001	0.021	-1.119	0.7879999999999999	0.332	0.166	-0.956	-0.38799999999999996	-3.135	-0.6409999999999999	-1.212	-1.127	-1.188	-1.7519999999999998	0.718	-0.504	-1.599	-0.8109999999999999	0.486	CPD-8508	CPD-8508	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3084463'>3084463</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75542'>75542</a>		<a href='http://www.hmdb.ca/metabolites/HMDB31074'>HMDB31074</a>		1-hexadecanoyl-sn-glycerol // glycerol palmitate // glyceryl monopalmitate // hexadecanoic acid, 2,3-bishydroxy propyl ester // 2,3-dihydroxypropyl hexadecanoate // 1-monopalmitin // &alpha;-monopalmitin // 1-monohexadecanoylglycerol // 2,3-dihydroxypropyl palmitate // glycerol 1-monohexadecanoate // palmitic acid &alpha;-monoglyceride
CPD-16717	0.475	-0.442	-0.9359999999999999	0.636	-0.423	-0.24	-0.722	-0.444	-0.073	-0.191	-0.068	-1.229	0.716	0.371	0.17800000000000002	-0.599	-0.078	-2.593	-0.184	-1.236	-0.8370000000000001	-0.852	-1.527	0.5870000000000001	-0.648	-1.446	-0.484	0.551	CPD-16717								
2,3-dihydroxybutanoic acid	-0.664	-0.647	-0.221	0.212	0.294	1.05	-0.3	0.792	-0.013000000000000001	0.6	0.256	0.899	-0.8540000000000001	-1.082	-0.785	-0.179	-0.6990000000000001	0.057999999999999996	-1.0759999999999998	0.293	0.42100000000000004	-2.076	-0.7609999999999999	-0.895	0.748	0.5670000000000001	-0.49700000000000005	-0.804									
2,5-hydroxypyrazine	-0.47200000000000003	0.039	-0.6629999999999999	-0.759	-1.411	-1.113	-0.033	-0.723	1.714	-0.986	-0.7659999999999999	0.737	-1.306	-0.725	-1.031	0.419	-1.0170000000000001	1.3519999999999999	0.391	-1.315	0.069	-0.16399999999999998	1.541	-0.222	-1.5230000000000001	0.907	0.08199999999999999	-0.7140000000000001									
CPD-3564	-0.212	-1.5019999999999998	1.4909999999999999	-0.742	-0.934	-0.742	0.439	1.24	-0.40700000000000003	1.2	-0.9109999999999999	-1.4580000000000002	1.0859999999999999	-0.5489999999999999	0.281	-0.243	-0.573	0.802	0.652	0.064	1.276	0.8590000000000001	0.861	-0.581	0.602	-0.214	0.6890000000000001	-0.779	CPD-3564								
2-HYDROXYPYRIDINE	1.52	2.359	1.253	0.6759999999999999	1.307	0.866	1.8619999999999999	1.3880000000000001	1.831	0.436	0.633	1.642	0.003	0.52	-0.013999999999999999	1.672	0.309	2.001	1.611	-0.51	1.411	0.885	1.157	1.305	-0.304	0.892	1.499	0.9390000000000001	2-HYDROXYPYRIDINE		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=8871'>8871</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=142-08-5'>142-08-5</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16540'>16540</a>		<a href='http://www.hmdb.ca/metabolites/HMDB13751'>HMDB13751</a>		
ketoisocaproic acid	-0.887	-0.83	0.8270000000000001	-1.9809999999999999	-0.55	-1.358	-0.33299999999999996	-1.061	0.5660000000000001	0.35600000000000004	-0.134	-2.126	0.92	1.125	0.956	0.7929999999999999	-0.145	2.009	0.517	0.672	1.2590000000000001	0.29100000000000004	0.532	0.21	0.272	0.6970000000000001	-0.073	0.209									
CPD-16714	-0.618	-0.45299999999999996	-0.456	-0.973	-0.391	-0.677	-0.528	0.282	-1.561	-0.838	-0.7709999999999999	-0.154	-0.917	-0.9390000000000001	-0.674	-0.7859999999999999	-1.3030000000000002	-0.603	-0.457	-0.868	-0.884	-1.035	-0.377	-0.866	-0.742	-1.153	-0.036000000000000004	-0.111	CPD-16714	CPD-16714	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=22320917'>22320917</a>						2-deoxytetronic acid // butanoic acid
3-HYDROXY-BUTYRATE	-1.036	-1.158	-0.685	-0.526	-1.249	-0.54	-0.868	-0.319	-1.036	-0.634	-1.056	-1.056	-0.402	-0.973	-0.9440000000000001	-0.985	-1.483	-0.7709999999999999	1.0590000000000002	-1.018	-0.569	0.006	0.7190000000000001	-0.8340000000000001	0.092	-0.215	0.774	-1.449	3-HYDROXY-BUTYRATE	3-HYDROXY-BUTYRATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3541112'>3541112</a>	<a href='http://www.commonchemistry.org/ChemicalDetail.aspx?ref=300-85-6'>300-85-6</a>	<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37054'>37054</a>				&beta;-hydroxybutyrate // 3-hydroxybutyrate // &beta;-hydroxybutanoate
CPD-12318	1.974	0.6459999999999999	2.721	8.386000000000001	3.488	3.165	-1.094	1.933	1.526	1.075	1.194	0.826	0.8690000000000001	2.0269999999999997	1.094	2.0469999999999997	0.723	2.416	3.4189999999999996	0.843	0.9440000000000001	1.507	2.306	2.0540000000000003	0.47200000000000003	1.531	2.213	0.98	CPD-12318		<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=7971'>7971</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:503883'>503883</a>				
INDOLE-PROPIONATE	0.43799999999999994	-0.5670000000000001	-1.19	-0.705	-1.382	0.003	-0.332	-0.113	-1.084	0.248	-0.7040000000000001	-1.235	-0.214	0.129	1.847	-2.32	-1.2109999999999999	-1.107	-0.6	-0.033	-2.523	-3.3930000000000002	-1.5190000000000001	-0.2	0.5539999999999999	-0.27399999999999997	-0.369	-0.603	INDOLE-PROPIONATE	INDOLE-PROPIONATE	<a href='http://pubchem.ncbi.nlm.nih.gov/summary/summary.cgi?cid=3292996'>3292996</a>		<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82916'>82916</a>				indole-propionate // 3-indolepropionic acid // indole-3-propionate // IPA // 3-(1H-indol-3-yl)propanoate // 3-(1H-indol-3-yl)propionate
3-oxo-pentanedioic acid	-1.067	-2.155	-0.337	0.127	-0.612	-1.598	-2.252	-0.508	-0.84	-0.39299999999999996	-0.66	-0.349	-0.899	-0.951	-0.951	-0.759	-0.35100000000000003	-0.28300000000000003	-0.353	-0.909	-0.046	-1.538	-0.4	-0.97	-0.642	0.127	-1.655	-1.75									
