ids	5mthf_c	accoa_c	ala__L_c	amp_c	arg__L_c	asn__L_c	asp__L_c	atp_c	clpn_EC_c	coa_c	ctp_c	cys__L_c	datp_c	dctp_c	dgtp_c	dttp_c	fad_c	gln__L_c	glu__L_c	gly_c	glycogen_c	gtp_c	h2o_c	his__L_c	ile__L_c	leu__L_c	lps_EC_c	lys__L_c	met__L_c	nad_c	nadh_c	nadp_c	nadph_c	pe_EC_c	peptido_EC_c	pg_EC_c	phe__L_c	pro__L_c	ps_EC_c	ptrc_c	ser__L_c	spmd_c	succoa_c	thr__L_c	trp__L_c	tyr__L_c	udpg_c	utp_c	val__L_c
frozenset({'b2978'})	91.48438634713196	13.333333333333927	419.99999999999926	39.99999999999868	104.99999999999993	209.99999999999991	419.9999999999994	13.333333333333396	0.39999999999997854	13.333333333335146	13.333333333335442	20.00000000000003	13.333333333333377	13.33333333333336	13.333333333333366	13.333333333333362	19.99999999999993	210.00000000000014	420.000000000002	419.99999999999915	429.43373493975895	13.333333333333355	1000.0	149.9999999999998	430.00000000000017	439.99999999999983	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999694	29.999999999999687	19.999999999999783	19.999999999999783	0.7999999999999282	55.00000000000006	0.8000000000000065	287.89680851063844	419.99999999999903	0.8000000000000583	210.00000000000006	420.00000000000057	149.99999999999974	13.33333333333392	419.9999999999996	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000016
frozenset({'b1872'})	90.96151053013747	13.333333333333949	419.99999999999926	39.99999999999868	105.0000000000001	209.99999999999991	420.00000000000034	13.333333333333648	0.40000000000015035	13.333333333335519	13.33333333333536	20.00000000000003	13.333333333333373	13.333333333333359	13.333333333333362	13.333333333333364	19.99999999999992	210.00000000000003	420.000000000002	419.9999999999991	426.4216867469879	13.333333333333266	1000.0	149.99999999999986	430.0000000000003	439.99999999999994	12.876931447225259	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000003	0.8000000000000073	286.5244680851065	419.99999999999926	0.8000000000000576	210.00000000000009	420.00000000000045	149.93316455696274	13.333333333333929	419.44805455274735	200.9505678022711	273.8913705583766	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b0186'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	105.0000000000001	209.99999999999991	420.00000000000034	13.333333333333648	0.40000000000015035	13.333333333335519	13.33333333333536	20.00000000000003	13.333333333333373	13.333333333333359	13.333333333333362	13.333333333333364	19.99999999999992	210.00000000000003	420.000000000002	419.9999999999991	429.43373493975895	13.333333333333266	1000.0	149.99999999999986	430.0000000000003	439.99999999999994	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000003	0.8000000000000073	287.89680851063844	419.99999999999926	0.8000000000000576	210.00000000000009	420.00000000000045	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b2797'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	105.0000000000001	209.99999999999991	420.00000000000034	13.333333333333648	0.40000000000015035	13.333333333335519	13.33333333333536	20.00000000000003	13.333333333333373	13.333333333333359	13.333333333333362	13.333333333333364	19.99999999999992	210.00000000000003	420.000000000002	419.9999999999991	429.43373493975895	13.333333333333266	1000.0	149.99999999999986	430.0000000000003	439.99999999999994	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000003	0.8000000000000073	287.89680851063844	419.99999999999926	0.8000000000000576	210.00000000000009	420.00000000000045	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b0061'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	105.0000000000001	209.99999999999991	420.00000000000034	13.333333333333648	0.40000000000015035	13.333333333335519	13.33333333333536	20.00000000000003	13.333333333333373	13.333333333333359	13.333333333333362	13.333333333333364	19.99999999999992	210.00000000000003	420.000000000002	419.9999999999991	429.43373493975895	13.333333333333266	1000.0	149.99999999999986	430.0000000000003	439.99999999999994	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000003	0.8000000000000073	287.89680851063844	419.99999999999926	0.8000000000000576	210.00000000000009	420.00000000000045	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b2677'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	105.0000000000001	209.99999999999991	420.00000000000034	13.333333333333648	0.40000000000015035	13.333333333335519	13.33333333333536	20.00000000000003	13.333333333333373	13.333333333333359	13.333333333333362	13.333333333333364	19.99999999999992	210.00000000000003	420.000000000002	419.9999999999991	429.43373493975895	13.333333333333266	1000.0	149.99999999999986	430.0000000000003	439.99999999999994	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000003	0.8000000000000073	287.89680851063844	419.99999999999903	0.8000000000000579	210.00000000000009	420.00000000000045	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b1851'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	104.99999999999999	209.9999999999999	420.0000000000004	13.333333333331428	0.3999999999999735	13.333333333335663	13.333333333335322	20.00000000000003	13.333333333333373	13.33333333333336	13.333333333333362	13.333333333333362	19.99999999999992	210.00000000000009	419.99999999999943	419.9999999999993	428.78039215686283	13.333333333333238	1000.0	149.99999999999986	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000006	0.8000000000000076	287.89680851063844	419.99999999999903	0.8000000000000579	210.00000000000017	420.0000000000004	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b4232'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	104.99999999999999	209.9999999999999	420.0000000000004	13.333333333331428	0.3999999999999735	13.333333333335663	13.333333333335322	20.00000000000003	13.333333333333373	13.33333333333336	13.333333333333362	13.333333333333362	19.99999999999992	210.00000000000009	419.99999999999943	419.9999999999993	429.43373493975895	13.333333333333238	1000.0	149.99999999999986	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000006	0.8000000000000076	287.89680851063844	419.99999999999903	0.8000000000000579	210.00000000000017	420.0000000000004	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b0029'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999868	104.99999999999999	209.9999999999999	420.0000000000004	13.333333333331428	0.3999999999999735	13.333333333335663	13.333333333335322	20.00000000000003	13.333333333333373	13.33333333333336	13.333333333333362	13.333333333333362	19.99999999999992	210.00000000000009	419.99999999999943	419.9999999999993	429.43373493975895	13.333333333333238	1000.0	149.99999999999986	430.0000000000003	439.99999999999983	12.955277475516874	229.99999999999972	30.0	29.999999999999684	29.999999999999677	19.99999999999979	19.999999999999805	0.7999999999999284	55.00000000000006	0.8000000000000076	287.89680851063844	419.99999999999903	0.8000000000000579	210.00000000000017	420.0000000000004	149.99999999999974	13.333333333333929	419.99999999999966	201.81229124916518	275.2010152284275	20.000000000002377	13.333333333334979	430.0000000000013
frozenset({'b2661'})	91.48438634713169	13.333333333333949	419.99999999999926	39.99999999999866	104.99999999999987	209.9999999999999	420.00000000000034	13.333333333333067	0.4000000000000511	13.333333333335208	13.333333333333458	20.0	13.333333333333375	13.333333333333371	13.333333333333362	13.333333333333371	19.99999999999937	210.00000000000006	419.9999999999997	420.0000000021116	429.43373493975895	13.333333333333238	1000.0	149.9999999999998	430.00000000000006	439.99999999999955	12.955277475516874	229.99999999999972	30.000000000000007	29.999999999999666	29.99999999999966	19.999999999999776	19.999999999999773	0.8000000000000165	55.00000000000164	0.7999999999999581	287.8329787234044	420.0000000000019	0.8000000000000576	210.00000000000017	420.00000000000074	149.99999999999997	13.333333333333963	419.9999999999998	201.32366215344913	275.1401015228439	20.000000000002363	13.33333333333497	429.99999999999955
