Blattner	name
b0765	modC
b0808	ybiO
b1856	mepM
b3950	frwB
b3410	feoC
b4349	hsdM
b1604	ydgH
b0445	ybaE
b3542	dppC
b3391	hofQ
b3715	yieH
b4596	yciZ
b2645	yfjZ
b3546	eptB
b0207	dkgB
b0743	lysT
b3224	nanT
b4073	nrfD
b0232	yafN
b1896	otsA
b1040	csgD
b0583	entD
b1852	zwf
b1834	yebT
b4351	mrr
b1732	katE
b2294	yfbU
b0906	ycaP
b4426	mcaS
b0915	lpxK
b1004	wrbA
b4425	rttR
b0918	kdsB
b2705	srlD
b2626	yfjJ
b1166	ariR
b4609	ryfD
b2995	hybB
b2152	yeiB
b1651	gloA
b0761	modE
b3150	yraP
b1723	pfkB
b1342	zntB
b4348	hsdS
b1426	ydcH
b0157	yadS
b4461	yfjD
b4333	yjiK
b4504	ykfH
b2359	yfdP
b3197	kdsD
b1622	malY
b1911	glyW
b0595	entB
b2481	hyfA
b4566	topAI
b0212	gloB
b0305	rclR
b3270	yhdY
b2029	gnd
b3705	yidC
b1961	dcm
b1635	gstA
b1841	yobA
b2120	yehM
b4608	ohsC
b2328	mepA
b1501	ydeP
b1132	hflD
b4722	idlP
b2708	gutQ
b2167	fruA
b2001	yeeR
b0502	ylbG
b4417	rybB
b2728	hypC
b4334	yjiL
b1771	ydjG
b3034	nudF
b0785	moaE
b2134	pbpG
b2714	ascG
b0950	pqiA
b2890	lysS
b1928	yedD
b0434	yajG
b0886	cydC
b0897	ycaC
b4126	yjdI
b2798	ygdG
b1551	ynfN
b0222	lpcA
b0396	araJ
b1986	asnU
b3269	yhdX
b4154	frdA
b3866	yihI
b0927	gloC
b3397	nudE
b3954	yijO
b0734	cydB
b4309	nanS
b3241	aaeA
b0481	ybaK
b3503	arsC
b1777	yeaC
b3100	yqjK
b4436	sibA
b3972	murB
b1396	paaI
b3594	yibA
NIL	och5
b0200	gmhB
b2789	gudP
b1361	ydaW
b3337	bfd
b2669	stpA
b1872	torZ
b0700	rhsC
b1781	yeaE
b3614	yibQ
b0593	entC
b0436	tig
b1039	csgE
b1397	paaJ
b0573	cusF
b2514	hisS
b1904	yecR
b2032	wbbK
b3547	yhjX
b3141	agaI
b4472	yhdP
b1001	yccE
b1150	ymfR
b2252	ais
b0509	glxR
b1665	valV
b0733	cydA
b2285	nuoE
b2209	eco
b0963	mgsA
b1309	ycjM
b4113	basR
b3543	dppB
b4477	dgoA
b3191	mlaB
b1637	tyrS
b0798	ybiA
b1527	yneK
b1583	ynfB
b3864	spf
b0031	dapB
b1479	maeA
b2210	mqo
b1254	yciB
b4558	yifL
b3619	rfaD
b2093	gatB
b0557	borD
b3507	dctR
b4459	ryjA
b3952	pflC
b3427	yzgL
b3608	gpsA
b2690	yqaB
b0597	entH
b2614	grpE
b3513	mdtE
b2943	galP
b0328	yahN
b0893	serS
b0682	chiQ
b3674	yidF
b0920	elyC
b2883	guaD
b1033	ghrA
b3086	ygjQ
b2115	yehF
b0278	yagL
b1215	kdsA
b3904	rhaB
b3658	selC
b0478	ybaL
b2284	nuoF
b4662	sgrT
b3449	ugpQ
b1461	pptA
b2554	glrR
b4231	yjfF
b2696	csrA
b2346	mlaA
b1866	aspS
b1324	tpx
b1181	ycgN
b0119	yacL
b4456	glmZ
b0524	lpxH
b3447	ggt
b2245	yfaU
b3425	glpE
b0527	ybcI
b3255	accB
