NCBI	CommonName
8086.1	AAAS
114771.1	PGLYRP3
8576.1	STK16
3757.1	KCNH2
9897.1	KIAA0196
4689.1	NCF4
9203.1	ZMYM3
8658.1	TNKS
56269.1	IRGC
30813.1	VSX1
534.1	ATP6V1G2
8669.1	EIF3J
11232.1	POLG2
26190.1	FBXW2
658.1	BMPR1B
8969.1	HIST1H2AG
8562.1	DENR
28930.1	IGKV1-39
51090.1	PLLP
10863.1	ADAM28
132204.1	SYNPR
844.1	CASQ1
6522.1	SLC4A2
6906.1	SERPINA7
4147.1	MATN2
23770.1	FKBP8
27020.1	NPTN
51266.1	CLEC1B
22858.1	ICK
10055.1	SAE1
117154.1	DACH2
5007.1	OSBP
6302.1	TSPAN31
7480.1	WNT10B
5066.1	PAM
3418.1	IDH2
3632.1	INPP5A
158038.1	LINGO2
3397.1	ID1
7376.1	NR1H2
26781.1	RNU67
51747.1	CROP
51150.1	SDF4
636.1	BICD1
84294.1	UTP23
7001.1	PRDX2
26000.1	TBC1D10B
122953.1	JDP2
318.1	NUDT2
905.1	CCNT2
892.1	CCNC
146849.1	CCDC42
163732.1	CITED4
83930.1	STARD3NL
10087.1	COL4A3BP
84844.1	PHF5A
143098.1	MPP7
51765.1	MST4
3845.1	KRAS
55870.1	ASH1L
27123.1	DKK2
84295.1	PHF6
8812.1	CCNK
10910.1	SUGT1
10762.1	NUP50
729238.1	SFTPA2
23400.1	ATP13A2
3670.1	ISL1
23627.1	PRND
8897.1	MTMR3
23621.1	BACE1
28964.1	GIT1
64288.1	ZNF323
7080.1	NKX2-1
56122.1	PCDHB14
9615.1	GDA
675.1	BRCA2
2179.1	ACSL1
23326.1	USP22
26225.1	ARL5A
8848.1	TSC22D1
9447.1	AIM2
51805.1	COQ3
23552.1	CCRK
79142.1	PHF23
84944.1	MAEL
475.1	ATOX1
5260.1	PHKG1
3229.1	HOXC13
8178.1	ELL
23658.1	LSM5
114599.1	RNU15B
30811.1	HUNK
9948.1	WDR1
9625.1	AATK
4487.1	MSX1
23769.1	FLRT1
5447..1	POR
1346.1	COX7A1
6167.1	RPL37
57502.1	NLGN4X
51146.1	A4GNT
26995.1	TRUB2
7637.1	ZNF84
537.1	ATP6AP1
4669.1	NAGLU
3848.1	KRT1
3205.1	HOXA9
1909.1	EDNRA
8911.1	CACNA1I
137362.1	GOT1L1
25804.1	LSM4
90423.1	ATP6V1E2
