Genes	Number of families 	Novel gene 	Phenotype class 	Report 
ATB2	100	N	Explained, known phenotype	
KMT2D	85	N	Explained, known phenotype	
PIEZO2	46	N	Explained, known phenotype	
C5ORF42	37	N	Explained, known phenotype	
CC2D2A	32	N	Explained, known phenotype	
MYH3	30	N	Explained, known phenotype	
AHI1	26	N	Explained, known phenotype	
CEP290	25	N	Explained, known phenotype	
TMEM67	23	N	Explained, known phenotype	
NALCN	20	N	Explained, known phenotype	
SF3B4	20	N	Explained, known phenotype	
CSPP1	17	N	Explained, known phenotype	
SLC12A3	16	N	Explained, known phenotype	
TPM2	14	N	Explained, known phenotype	
AVPR2	13	N	Explained, known phenotype	
PKD1	13	N	Explained, known phenotype	
TNNT3	13	N	Explained, known phenotype	
ZC4H2	13	N	Phenotype expansion	
TNNI2	12	N	Explained, known phenotype	
KCTD1	11	N	Explained, known phenotype	
RPGRIP1L	11	N	Explained, known phenotype	
KDM1A	10	N	Explained, known phenotype	
TMEM216	10	N	Explained, known phenotype	
PMPCA	9	N	Explained, known phenotype	
INPPL1	8	N	Explained, known phenotype	
KDM5C	8	N	Explained, known phenotype	
MKS1	8	N	Explained, known phenotype	
RYR1	8	N	Phenotype expansion	
TTN	8	N	Novel phenotype	
DHODH	7	N	Explained, known phenotype	
NR3C2	7	N	Explained, known phenotype	
TBCK	6	N	Explained, known phenotype	
ACTC1	5	N	Novel phenotype	
CHD2	5	N	Phenotype expansion	
DYNC1H1	5	N	Explained, known phenotype	
KMT2E	5	Y	Novel phenotype	
MECP2	5	N	Explained, known phenotype	
NPHP1	5	N	Explained, known phenotype	
OFD1	5	N	Explained, known phenotype	
TCTN2	5	N	Explained, known phenotype	
APRT	4	N	Explained, known phenotype	
BRCA2	4	N	Explained, known phenotype	
COL4A5	4	N	Explained, known phenotype	
FBN2	4	N	Explained, known phenotype	
FLNA	4	N	Explained, known phenotype	
HSPG2	4	N	Phenotype expansion	
MAGEL2	4	N	Explained, known phenotype	
SALL1	4	N	Explained, known phenotype	
SCN1A	4	N	Explained, known phenotype	
SHANK2	4	N	Explained, known phenotype	
SLC12A2	4	Y	Novel phenotype	
SRCAP	4			
SYNGAP1	4	N	Explained, known phenotype	
TMEM231	4	N	Explained, known phenotype	
WWOX	4	N	Explained, known phenotype	
ARL13B	3	N	Explained, known phenotype	
ASXL1	3	N	Phenotype expansion	
ATM	3			
ATP1A2	3	N	Novel phenotype	
ATP6V0A4	3	N	Explained, known phenotype	
ATP6V1B1	3	N	Explained, known phenotype	
BMP4	3			
C2CD3	3	N	Explained, known phenotype	
CFH	3	N	Explained, known phenotype	
CNTNAP1	3			
COL2A1	3	N	Explained, known phenotype	
COL5A1	3	N	Explained, known phenotype	
COL6A3	3			
CUL3	3	N	Explained, known phenotype	
DDX3X	3	N	Explained, known phenotype	
DMD	3	N	Explained, known phenotype	
ECEL1	3			
FREM2	3			
FSD1L	3			
GLB1	3	N	Phenotype expansion	
GRIN2A	3	N	Explained, known phenotype	
IFIH1	3			
KIF7	3	N	Explained, known phenotype	
KMT2A	3	N	Explained, known phenotype	
KMT2C	3	N	Explained, known phenotype	
LAMA2	3			
MECR	3			
MN1	3	Y	Novel phenotype	
MTHFR	3			
NOTCH1	3	N	Phenotype expansion	
NPHP4	3	N	Explained, known phenotype	
PKD2	3	N	Explained, known phenotype	
PKHD1	3	N	Explained, known phenotype	
PLXNB3	3			
PUM1	3	N	Explained, known phenotype	
RELN	3			
SCN11A	3			
SCN8A	3	N	Explained, known phenotype	
SCNN1A	3	N	Explained, known phenotype	
SLC52A2	3	N	Phenotype expansion	
SLC7A9	3	N	Explained, known phenotype	
SMARCA4	3			
SOX5	3	N	Explained, known phenotype	
SPG11	3			
TELO2	3			
TPP1	3			
UMOD	3	N	Explained, known phenotype	
USP7	3	N	Explained, known phenotype	
WDR37	3	Y	Novel phenotype	
ZMIZ1	3	Y	Unexplained, known phenotype	
AARS2	2			
ACTA2	2			
ACTG2	2	N	Unexplained, known phenotype	
ADAMTS10	2			
ADCK4	2			
AGO3	2			
AGRN	2	N	Novel phenotype	
AHDC1	2			
ALG14	2			
ALG3	2			
ANKRD11	2			
ARF1	2	Y	Novel phenotype	
ASPM	2			
ATAD3B	2	Y	Novel phenotype	
ATP7A	2			
AUTS2	2			
B9D1	2	N	Explained, known phenotype	
B9D2	2	N	Explained, known phenotype	
BCL11A	2			
BEST3	2	Y	Novel phenotype	
C10ORF2	2	N	Explained, known phenotype	
C10orf76	2			
C3	2			
CACNA1A	2	N	Phenotype expansion	
CACNA1C	2			
CAMSAP1	2			
CAV1	2			
CFI	2	N	Explained, known phenotype	
CHD3	2			
CHRNG	2			
CLCN5	2	N	Explained, known phenotype	
CLCNKB	2	N	Explained, known phenotype	
CLTC	2			
COL1A1	2			
COL4A3	2	N	Explained, known phenotype	
CREBBP	2			
CSNK2A1	2	N	Explained, known phenotype	
CTNNB1	2	N	Explained, known phenotype	
DALRD3	2			
DARS	2			
DNAJC13	2			
DOCK8	2	N	Explained, known phenotype	
DROSHA	2			
EHMT1	2	N	Explained, known phenotype	
EP300	2			
EVC2	2			
EYA1	2	N	Phenotype expansion	
FAM186A	2			
FBXL4	2			
FBXO11	2			
FGFR1	2	N	Phenotype expansion	
FLG	2			
FLNC	2			
FOXP1	2			
FOXRED1	2			
GABRB3	2	N	Explained, known phenotype	
GALT	2	N	Explained, known phenotype	
GLE1	2			
GMPPB	2	N	Explained, known phenotype	
GNB1	2			
GRIK4	2			
GUCY1A3	2	N	Explained, known phenotype	
HUWE1	2			
IBA57	2			
IFT140	2	N		
IGF1R	2			
INTS1	2			
KANK1	2			
KCNB1	2	N	Explained, known phenotype	
KCNQ2	2	N	Explained, known phenotype	
KDM6B	2	Y	Novel phenotype	
KDR	2			
KIF1A	2	N	Explained, known phenotype	
KLF8	2			
KLHL3	2	N	Explained, known phenotype	
KMT2B	2	Y	Novel phenotype	
LAMA5	2	Y	Novel phenotype	
LARS	2	N	Explained, known phenotype	
LIPT1	2			
MACF1	2			
MBD5	2	N	Explained, known phenotype	
MED12	2	N	Explained, known phenotype	
MSRA	2	Y	Novel phenotype	
MT-CYB	2			
MT-TP	2			
MXRA5	2			
MYBPC2	2			
MYH11	2	N	Explained, known phenotype	
MYLK	2	N	Explained, known phenotype	
MYLPF	2	Y	Novel phenotype	
MYO7A	2			
NACC1	2			
NAV2	2			
NCOA1	2			
NLRP3	2	N	Explained, known phenotype	
NMNAT1	2			
NRXN3	2			
NUBPL	2	N	Explained, known phenotype	
OPHN1	2	N	Explained, known phenotype	
PADI3	2			
PAX2	2	N	Explained, known phenotype	
PCDH19	2			
PDE4D	2			
PFAS	2			
PLA2G6	2			
POLG	2	N	Explained, known phenotype	
POLR3A	2	N	Novel phenotype	
PPP2R5C	2			
PPT1	2			
PTCH1	2			
PTEN	2			
PTPN11	2			
PUF60	2			
RASAL2	2	Y	Novel phenotype	
REV3L	2			
RTTN	2			
SAMD9L	2			
SBF1	2			
SCARA3	2			
SCN2A	2			
SCN4A	2			
SCN5A	2			
